,소재지도로명,위도,경도,시군구코드,업태명,업소명,소재지도로명.1,소재지지번,지도점검일자,처분명,ㅉ,위반일자,처분내용
0,서울특별시 동작구 동작대로7길 4 (사당동),37.5045599,126.94006040000001,3190000.0,치킨,요모조모,서울특별시 동작구 동작대로7길 4 (사당동),서울특별시 동작구 사당동 1030번지 14호,20050212.0,영업정지2월,식품위생법 제31조,20050212.0,영업정지2월
1,서울특별시 동작구 장승배기로10길 18 (상도동),37.51242,126.9372865,3190000.0,치킨,썬스타,서울특별시 동작구 장승배기로10길 18 (상도동),서울특별시 동작구 상도동 179번지 7호,20100511.0,영업정지 1월,식품위생법 제44조,20100511.0,영업정지 1월
2,서울특별시 동작구 노량진로8길 36 (노량진동),37.4991442,126.9279274,3190000.0,치킨,투다리,서울특별시 동작구 노량진로8길 36 (노량진동),서울특별시 동작구 노량진동 258번지 40호,20070412.0,과태료부과,식품위생법 제26조제1항,20070319.0,과태료부과
3,서울특별시 동작구 여의대방로24길 141 (대방동),37.4991442,126.9279274,3190000.0,치킨,고추전쟁,서울특별시 동작구 여의대방로24길 141 (대방동),서울특별시 동작구 대방동 407번지 29호,20051009.0,영업정지 15일 및 과징금50만원,식품위생법 58조,20051009.0,영업정지 15일 및 과징금50만원
4,서울특별시 동작구 여의대방로24길 141 (대방동),37.4990068,126.93315759999999,3190000.0,치킨,고추전쟁,서울특별시 동작구 여의대방로24길 141 (대방동),서울특별시 동작구 대방동 407번지 29호,20051009.0,영업정지 15일 및 과징금50만원,식품위생법 제58조,20051009.0,영업정지 15일 및 과징금50만원
5,서울특별시 동작구 성대로 36 (상도동),37.508070700000005,126.96139690000001,3190000.0,치킨,칸꼬시,서울특별시 동작구 성대로 36 (상도동),서울특별시 동작구 상도동 256번지 36호,20150403.0,영업정지 1월 갈음 과징금부과,식품위생법 제44조 및 동법 제75조,20150403.0,영업정지 1월 갈음 과징금부과
6,서울특별시 동작구 흑석로 110 (흑석동성원빌딩 5층),37.4868236,126.98121119999999,3190000.0,치킨,해리피아,서울특별시 동작구 흑석로 110 (흑석동성원빌딩 5층),서울특별시 동작구 흑석동 183번지 1호 성원빌딩 5층,20081231.0,영업정지 2월,식품위생법 제31조2항,20081231.0,영업정지 2월
7,서울특별시 동작구 동작대로27가길 15 (사당동),37.5118333,126.9456142,3190000.0,치킨,크레이지 팜(Crazy Farm),서울특별시 동작구 동작대로27가길 15 (사당동),서울특별시 동작구 사당동 137번지 25호,20130401.0,과태료부과(16만원),식품위생법 제40조 위반 같은법 제101조 적용,20130401.0,과태료부과(16만원)
8,서울특별시 동작구 만양로14길 24 (노량진동),37.479946399999996,126.98085459999999,3190000.0,치킨,미래분식,서울특별시 동작구 만양로14길 24 (노량진동),서울특별시 동작구 노량진동 208번지 0호,20050711.0,영업정지,식품위생법 제58조,20050711.0,영업정지
9,서울특별시 동작구 동작대로7길 12 (사당동),37.5131509,126.94444080000001,3190000.0,치킨,마야,서울특별시 동작구 동작대로7길 12 (사당동),서울특별시 동작구 사당동 1030번지 10호,20091202.0,영업소폐쇄,식품위생법 제75조,20091202.0,영업소폐쇄
10,서울특별시 동작구 만양로 110 (노량진동),37.5131509,126.94444080000001,3190000.0,치킨,방가방가,서울특별시 동작구 만양로 110 (노량진동),서울특별시 동작구 노량진동 117번지 15호,20110228.0,영업정지,식품위생법 제44조제2항 제75조 및 동법시행규칙 제89조,20110228.0,영업정지
11,서울특별시 동작구 만양로 110 (노량진동),37.5129105,126.94445549999999,3190000.0,치킨,방가방가,서울특별시 동작구 만양로 110 (노량진동),서울특별시 동작구 노량진동 117번지 15호,20110228.0,영업정지,식품위생법 제44조제2항 제75조 및 동법시행규칙 제89조,20110228.0,영업정지
12,서울특별시 동작구 만양로 106 (노량진동),37.5129105,126.94445549999999,3190000.0,치킨,괜찮아요,서울특별시 동작구 만양로 106 (노량진동),서울특별시 동작구 노량진동 117번지 17호,20020918.0,영업정지2월,식품위생법제31조,20020918.0,영업정지2월
13,서울특별시 동작구 만양로 106 (노량진동),37.5129105,126.94445549999999,3190000.0,치킨,괜찮아요,서울특별시 동작구 만양로 106 (노량진동),서울특별시 동작구 노량진동 117번지 17호,20020918.0,영업정지2월,식품위생법제31조,20020918.0,영업정지2월
14,서울특별시 동작구 만양로 106 (노량진동),37.5129105,126.94445549999999,3190000.0,치킨,괜찮아요,서울특별시 동작구 만양로 106 (노량진동),서울특별시 동작구 노량진동 117번지 17호,20020918.0,과징금부과,식품위생법제31조,20020918.0,과징금부과
15,서울특별시 동작구 만양로 106 (노량진동),37.5129105,126.94445549999999,3190000.0,치킨,괜찮아요,서울특별시 동작구 만양로 106 (노량진동),서울특별시 동작구 노량진동 117번지 17호,20020918.0,과징금부과,식품위생법제31조,20020918.0,과징금부과
16,서울특별시 동작구 만양로 106 (노량진동),37.5129105,126.94445549999999,3190000.0,치킨,인스,서울특별시 동작구 만양로 106 (노량진동),서울특별시 동작구 노량진동 117번지 17호,20041125.0,과태료부과,식품위생법 제26조,20041125.0,과태료부과
17,서울특별시 동작구 만양로 106 (노량진동),37.5062698,126.96164009999998,3190000.0,치킨,봄바봄바,서울특별시 동작구 만양로 106 (노량진동),서울특별시 동작구 노량진동 117번지 17호,20090708.0,과태료부과30만원(감경후 24만원),식품위생법 26조,20090708.0,과태료부과30만원(감경후 24만원)
18,서울특별시 동작구 서달로10길 10 (흑석동),37.5062698,126.96164009999998,3190000.0,치킨,양푼이 동태탕,서울특별시 동작구 서달로10길 10 (흑석동),서울특별시 동작구 흑석동 86번지 84호,20170404.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20170404.0,시설개수명령
19,서울특별시 동작구 서달로10길 10 (흑석동),37.4784915,126.9798523,3190000.0,치킨,양푼이 동태탕,서울특별시 동작구 서달로10길 10 (흑석동),서울특별시 동작구 흑석동 86번지 84호,20170404.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20170404.0,시설개수명령
20,서울특별시 동작구 동작대로3길 30 (사당동),37.504247799999995,126.93961920000001,3190000.0,치킨,용궁포차,서울특별시 동작구 동작대로3길 30 (사당동),서울특별시 동작구 사당동 1032번지 48호,20180816.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20180816.0,시설개수명령
21,서울특별시 동작구 장승배기로10길 6 (상도동),37.504247799999995,126.93961920000001,3190000.0,치킨,메카호프,서울특별시 동작구 장승배기로10길 6 (상도동),서울특별시 동작구 상도동 179번지 11호,20020828.0,과징금180만원,식품위생법제31조,20021008.0,과징금180만원
22,서울특별시 동작구 장승배기로10길 6 (상도동),37.5130282,126.94442099999999,3190000.0,치킨,지연호프,서울특별시 동작구 장승배기로10길 6 (상도동),서울특별시 동작구 상도동 179번지 11호,20190128.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20190128.0,시설개수명령
23,서울특별시 동작구 만양로 108 (노량진동),37.5130282,126.94442099999999,3190000.0,치킨,하늘천따지,서울특별시 동작구 만양로 108 (노량진동),서울특별시 동작구 노량진동 117번지 16호,20020913.0,영업정지3개월을 명합니다.,식품위생법제31조,20020913.0,영업정지3개월을 명합니다.
24,서울특별시 동작구 만양로 108 (노량진동),37.5130282,126.94442099999999,3190000.0,치킨,이화주막,서울특별시 동작구 만양로 108 (노량진동),서울특별시 동작구 노량진동 117번지 16호,20060713.0,과태료부과,식품위생법제58조,20060713.0,과태료부과
25,서울특별시 동작구 만양로 108 (노량진동),37.5126967,126.9308125,3190000.0,치킨,포차35구역,서울특별시 동작구 만양로 108 (노량진동),서울특별시 동작구 노량진동 117번지 16호,20200113.0,직권말소,법 제37조 7항,20200113.0,직권말소
26,서울특별시 동작구 등용로 127 (대방동),37.5133706,126.9439197,3190000.0,치킨,그린호프,서울특별시 동작구 등용로 127 (대방동),서울특별시 동작구 대방동 502번지 가 현대상가-204,20200113.0,직권말소,법 제37조 7항,20200113.0,직권말소
27,서울특별시 동작구 노량진로 162 (노량진동),37.5007162,126.93197179999999,3190000.0,치킨,멋있는사람들,서울특별시 동작구 노량진로 162 (노량진동),서울특별시 동작구 노량진동 114번지 5호,20010921.0,영업정지15일,식품위생법제58조,20010922.0,영업정지15일
28,서울특별시 동작구 상도로 105 (상도동),37.5007162,126.93197179999999,3190000.0,치킨,성대골호랑이,서울특별시 동작구 상도로 105 (상도동),서울특별시 동작구 상도동 348번지 170호,20020908.0,영업정지,식품위생법제58조,20020908.0,영업정지
29,서울특별시 동작구 상도로 105 (상도동),37.5007162,126.93197179999999,3190000.0,치킨,얼마예요,서울특별시 동작구 상도로 105 (상도동),서울특별시 동작구 상도동 348번지 170호,20051215.0,영업정지,식품위생법 제31조 및 동법 제58조,20051215.0,영업정지
30,서울특별시 동작구 상도로 105 (상도동),37.50018970000001,126.93274270000002,3190000.0,치킨,땡주막,서울특별시 동작구 상도로 105 (상도동),서울특별시 동작구 상도동 348번지 170호,20080614.0,영업정지 2월(2008.8.17 ~ 2008.10.16),식품위생법 제31조제2항,20080614.0,영업정지 2월(2008.8.17 ~ 2008.10.16)
31,서울특별시 동작구 성대로1길 4 (상도동),37.50018970000001,126.93274270000002,3190000.0,치킨,양푸니,서울특별시 동작구 성대로1길 4 (상도동),서울특별시 동작구 상도동 248번지 14호,20150811.0,과태료부과 32만원,법 제101조제2항 제1호,20150811.0,과태료부과 32만원
32,서울특별시 동작구 성대로1길 4 (상도동),37.50018970000001,126.93274270000002,3190000.0,치킨,양푸니,서울특별시 동작구 성대로1길 4 (상도동),서울특별시 동작구 상도동 248번지 14호,20150811.0,과태료부과 32만원,법 제101조제2항제1호,20150811.0,과태료부과 32만원
33,서울특별시 동작구 성대로1길 4 (상도동),37.477371000000005,126.9801061,3190000.0,치킨,대패상회,서울특별시 동작구 성대로1길 4 (상도동),서울특별시 동작구 상도동 248번지 14호,20180306.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20180306.0,시설개수명령
34,서울특별시 동작구 남부순환로271길 14 (사당동),37.4948295,126.95727169999999,3190000.0,치킨,싱싱한 바다마차,서울특별시 동작구 남부순환로271길 14 (사당동),서울특별시 동작구 사당동 1041번지 11호,20180614.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20180614.0,시설개수명령
35,서울특별시 동작구 상도로61길 43 (상도동),37.508070700000005,126.96139690000001,3190000.0,치킨,인터페이스,서울특별시 동작구 상도로61길 43 (상도동),서울특별시 동작구 상도동 505번지 11호,20091207.0,처분불가,식품위생법 제75조,20091207.0,처분불가
36,서울특별시 동작구 흑석로 110 (흑석동),37.508070700000005,126.96139690000001,3190000.0,치킨,와우하우스(WOW HOUSE),서울특별시 동작구 흑석로 110 (흑석동),서울특별시 동작구 흑석동 183번지 1호,20120711.0,과태료부과,식품위생법 제40조,20120711.0,과태료부과
